group_key,analysis_type,series_id,diode,sample,geometry,config,role,source_file,blank_file,quantity,value,unit
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,,scattering_net_auc,0.02194750769379883,normalised_signal*nm
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,,scattering_shape_auc,64.19773380257577,norm*nm
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,,sample_integration_time,2000.0,IntegrationTime metadata units
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,,blank_integration_time,,IntegrationTime metadata units
BX_XXX_UV_RMPS470_90deg_TSWS,scattering_shape,BX_XXX,UV,RMPS470,90deg,TSWS,scintillator,BX_XXX_UV_RMPS470_90deg_TSWS.csv.zip,,scattering_net_auc,0.013715625156190344,normalised_signal*nm
BX_XXX_UV_RMPS470_90deg_TSWS,scattering_shape,BX_XXX,UV,RMPS470,90deg,TSWS,scintillator,BX_XXX_UV_RMPS470_90deg_TSWS.csv.zip,,scattering_shape_auc,67.11169531992337,norm*nm
BX_XXX_UV_RMPS470_90deg_TSWS,scattering_shape,BX_XXX,UV,RMPS470,90deg,TSWS,scintillator,BX_XXX_UV_RMPS470_90deg_TSWS.csv.zip,,sample_integration_time,4000.0,IntegrationTime metadata units
BX_XXX_UV_RMPS470_90deg_TSWS,scattering_shape,BX_XXX,UV,RMPS470,90deg,TSWS,scintillator,BX_XXX_UV_RMPS470_90deg_TSWS.csv.zip,,blank_integration_time,,IntegrationTime metadata units
BX_XXX_White_RPMS470_0deg_TSET,transmittance_absorbance,BX_XXX,White,RPMS470,0deg,TSET,scintillator,BX_XXX_White_RPMS470_0deg_TSET.csv.zip,BX_XXX_White_Air_0deg.csv.zip,transmittance_auc,40.63825678451448,nm
BX_XXX_White_RPMS470_0deg_TSET,transmittance_absorbance,BX_XXX,White,RPMS470,0deg,TSET,scintillator,BX_XXX_White_RPMS470_0deg_TSET.csv.zip,BX_XXX_White_Air_0deg.csv.zip,absorbance_auc,334.4646952762653,nm
BX_XXX_White_RPMS470_0deg_TSET,transmittance_absorbance,BX_XXX,White,RPMS470,0deg,TSET,scintillator,BX_XXX_White_RPMS470_0deg_TSET.csv.zip,BX_XXX_White_Air_0deg.csv.zip,fractional_loss_auc,267.7031433154856,fraction*nm
BX_XXX_White_RPMS470_0deg_TSET,transmittance_absorbance,BX_XXX,White,RPMS470,0deg,TSET,scintillator,BX_XXX_White_RPMS470_0deg_TSET.csv.zip,BX_XXX_White_Air_0deg.csv.zip,sample_integration_time,10.0,IntegrationTime metadata units
BX_XXX_White_RPMS470_0deg_TSET,transmittance_absorbance,BX_XXX,White,RPMS470,0deg,TSET,scintillator,BX_XXX_White_RPMS470_0deg_TSET.csv.zip,BX_XXX_White_Air_0deg.csv.zip,blank_integration_time,1.0,IntegrationTime metadata units
BX_XXX_White_RMPS470_0deg_TSWS,transmittance_absorbance,BX_XXX,White,RMPS470,0deg,TSWS,scintillator,BX_XXX_White_RMPS470_0deg_TSWS.csv.zip,BX_XXX_White_Air_0deg.csv.zip,transmittance_auc,85.67901185372665,nm
