dataset_id,analysis_type,quantity,value,unit,range_nm,note,comparison_id,sample_id,dose_label
direct_blank,raw_gated_spectrum,gated_signal_auc,73.50472148742332,signal*nm,400.0-750.0,Residual baseline subtracted; values below noise floor set to zero.,,,
direct_dark_qc,raw_gated_spectrum,gated_signal_auc,,signal*nm,400.0-750.0,Residual baseline subtracted; values below noise floor set to zero.,,,
sample_whiteLED_direct_200uA_shape_only,raw_gated_spectrum,gated_signal_auc,87.72382925355674,signal*nm,400.0-750.0,Residual baseline subtracted; values below noise floor set to zero.,,,
sample_whiteLED_direct_40uA_test,raw_gated_spectrum,gated_signal_auc,15.008338863782942,signal*nm,400.0-750.0,Residual baseline subtracted; values below noise floor set to zero.,,,
sample_whiteLED_scatter90_40mA_test,raw_gated_spectrum,gated_signal_auc,11.578008038049678,signal*nm,400.0-750.0,Residual baseline subtracted; values below noise floor set to zero.,,,
scattering_dark_qc,raw_gated_spectrum,gated_signal_auc,,signal*nm,400.0-750.0,Residual baseline subtracted; values below noise floor set to zero.,,,
sample_whiteLED_direct_40uA_test,same_current_transmittance,transmittance_auc,57.8516547882349,T*nm,valid ratio region inside analysis window,Same-current comparison after baseline/noise gating.,sample_whiteLED_direct_40uA_test_vs_direct_blank,scintillator_test,test_format
sample_whiteLED_direct_40uA_test,same_current_transmittance,fractional_loss_auc,251.06753461176507,(1-T)*nm,valid ratio region inside analysis window,Same-current comparison after baseline/noise gating.,sample_whiteLED_direct_40uA_test_vs_direct_blank,scintillator_test,test_format
sample_whiteLED_direct_40uA_test,same_current_transmittance,absorbance_auc,340.0065339415256,A*nm,valid ratio region inside analysis window,Same-current comparison after baseline/noise gating.,sample_whiteLED_direct_40uA_test_vs_direct_blank,scintillator_test,test_format
sample_whiteLED_direct_40uA_test,same_current_transmittance,absolute_signal_difference_auc,58.333140740727394,signal*nm,valid ratio region inside analysis window,Same-current comparison after baseline/noise gating.,sample_whiteLED_direct_40uA_test_vs_direct_blank,scintillator_test,test_format
sample_whiteLED_direct_200uA_shape_only,sample_only_shape_diagnostic,sample_shape_auc,119.32812825830695,normalized*nm,400.0-750.0,"Shape diagnostic only, not absolute transmittance.",,scintillator_test,test_format
sample_whiteLED_scatter90_40mA_test,scattering_shape_diagnostic,scattering_net_auc,11.542830157533327,signal*nm,400.0-750.0,No scattering blank available. Spectrum is baseline/noise gated only.,sample_whiteLED_scatter90_40mA_test_scattering_shape,scintillator_test,test_format
sample_whiteLED_scatter90_40mA_test,scattering_shape_diagnostic,scattering_shape_auc,99.22357930070763,normalized*nm,400.0-750.0,No scattering blank available. Spectrum is baseline/noise gated only.,sample_whiteLED_scatter90_40mA_test_scattering_shape,scintillator_test,test_format
